result_id	results_section	figure_panel	manuscript_claim_short	reported_value	reported_n	statistical_unit	frozen_result_source	authority_file	authority_row_or_key	executable_receipt	source_script_or_function	public_reproduction_module	reproduction_level	status	notes
R1-SPATIAL	R1	1e	Strong spatial common axes	200 representations;17 patients	17 patients	patient	RESULTS_DATA_FREEZE_20260916/01_MASTER_RESULTS_EVIDENCE.tsv	results_reference/spatial_axis_summary.tsv	R1-SPATIAL-PC1-matrix-rich;myeloid-rich;vascular-rich	reproducibility/SCRIPT_CERTIFICATION.tsv:08;AGGREGATE_SOURCE_HASHES.tsv	UNTRACED	analysis/08_aggregate_evidence.py	AGGREGATE_VALIDATION	CERTIFIED_WITH_LIMITATION	 Original generating-code lineage remains untraced; no fabricated mapping. Certified only as extraction/summary of current frozen aggregate. No source-level generator or inferential null is invented.
R1-TRANSFER	R1	1f	Ecology transfers to unseen patients	0.175;CI 0.104–0.276	12 patients;57 regions	patient	publication_supplement_final/Supplementary_Table_S1.tsv	results_reference/supplement_S1.tsv	23	reproducibility/SCRIPT_CERTIFICATION.tsv:02;15 numeric checks	20_wp2_identifiability.py::grouped_linear_cv;cluster_bootstrap_global	analysis/02_patient_external_transfer.py	NOT_PUBLICLY_REPRODUCIBLE	CERTIFIED_WITH_LIMITATION	User adjudication: frozen ALL_AUTHOR_ANNOTATED execution is authoritative;57 regional measurements from12 patients;not malignant-only StageB1. METHODS_SCOPE_WORDING_CORRECTION;no result or execution changes. Public prepared-data constructor remains source-dependent.
R1-COMPOSITION	R1	1f	Broad composition does not transfer	-0.019	12 patients;57 regions	patient	publication_supplement_final/Supplementary_Table_S1.tsv	results_reference/supplement_S1.tsv	24	Frozen authority SHA256=b9057e0b7251e842e2e5f9cbe67e3a4cbb7ff946ea28bef40e234ce85a7610fc; upstream execution not inferred from filename	20_wp2_identifiability.py::composition_cv	analysis/99_validate_release.R	AGGREGATE_VALIDATION	CERTIFIED_WITH_LIMITATION	 Printed precision validated against frozen aggregate; generating pipeline not thereby certified.
R1-CARE	R1	1f	Secondary CARE repeated grouped baseline	0.090	56 patients	patient	RESULTS_DATA_FREEZE_20260916/R1/R1_TRANSFER.tsv	results_reference/care_transfer_baseline.tsv	ALL_201_SUMMARY;median_mean_cv_r2	reproducibility/SCRIPT_CERTIFICATION.tsv:08;AGGREGATE_SOURCE_HASHES.tsv	UNTRACED	analysis/08_aggregate_evidence.py	AGGREGATE_VALIDATION	CERTIFIED_WITH_LIMITATION	Different repeated-fivefold estimand; not DS03 LOPO. Original generating-code lineage remains untraced; no fabricated mapping. Certified only as extraction/summary of current frozen aggregate. No source-level generator or inferential null is invented.
R2-ASSOC	R2	1g	Anatomical association	195/201;median partial R2=0.404	10 tumours;122 wells	tumour	publication_supplement_final/Supplementary_Table_S2.tsv	results_reference/supplement_S2.tsv	2	reproducibility/SCRIPT_CERTIFICATION.tsv:03	10_run_analysis.py::q1_informativeness	analysis/03_anatomical_resolution.py	NOT_PUBLICLY_REPRODUCIBLE	CERTIFIED_WITH_LIMITATION	 Private prepared-input numerical reproduction; public preprocessing not certified.
R2-CORR	R2	1g	Informativeness tracks held-out resolution	0.804	201 representations	representation	IVYGAP_PATHOLOGY_ANATOMY_EXTENSION_V1	results_reference/ivy_model_summary.tsv	partial_r2 vs balanced_accuracy across201	reproducibility/SCRIPT_CERTIFICATION.tsv:08	UNTRACED	analysis/08_aggregate_evidence.py	AGGREGATE_VALIDATION	CERTIFIED_WITH_LIMITATION	 Original generating-code lineage remains untraced; no fabricated mapping. Recalculated from safe frozen aggregates;not original source-level fitting.
R2-ALL5	R2	2a	Anatomical resolution ALL5	0.350;2/201 >=0.60	10 tumours	tumour	publication_supplement_final/Supplementary_Table_S2.tsv	results_reference/supplement_S2.tsv	2	reproducibility/SCRIPT_CERTIFICATION.tsv:03	10_run_analysis.py::grouped_predictions;classification_metrics	analysis/03_anatomical_resolution.py	NOT_PUBLICLY_REPRODUCIBLE	CERTIFIED_WITH_LIMITATION	 Printed precision validated against frozen aggregate; generating pipeline not thereby certified. Private prepared-input numerical reproduction; public preprocessing not certified.
R2-CORE3	R2	2a	Anatomical resolution CORE3	0.474	10 tumours	tumour	publication_supplement_final/Supplementary_Table_S2.tsv	results_reference/supplement_S2.tsv	3	reproducibility/SCRIPT_CERTIFICATION.tsv:03	10_run_analysis.py::grouped_predictions;classification_metrics	analysis/03_anatomical_resolution.py	NOT_PUBLICLY_REPRODUCIBLE	CERTIFIED_WITH_LIMITATION	 Printed precision validated against frozen aggregate; generating pipeline not thereby certified. Private prepared-input numerical reproduction; public preprocessing not certified.
R2-PAN_MVP	R2	2a	Anatomical resolution PAN_MVP	0.654	10 tumours	tumour	publication_supplement_final/Supplementary_Table_S2.tsv	results_reference/supplement_S2.tsv	4	reproducibility/SCRIPT_CERTIFICATION.tsv:03	10_run_analysis.py::grouped_predictions;classification_metrics	analysis/03_anatomical_resolution.py	NOT_PUBLICLY_REPRODUCIBLE	CERTIFIED_WITH_LIMITATION	 Printed precision validated against frozen aggregate; generating pipeline not thereby certified. Private prepared-input numerical reproduction; public preprocessing not certified.
R2-MATCH	R2	2b;2c	Matched scores cross anatomical boundaries	descriptive	within tumour	tumour	RESULTS_DATA_FREEZE_20260916/R2/R2_MATCHED_DISTANCE_AUDIT.tsv	results_reference/matched_score_descriptive.tsv	ALL5;CORE3;PAN_MVP	reproducibility/SCRIPT_CERTIFICATION.tsv:08;AGGREGATE_SOURCE_HASHES.tsv	UNTRACED	analysis/08_aggregate_evidence.py	AGGREGATE_VALIDATION	CERTIFIED_WITH_LIMITATION	No nearest-distance inferential claim. Original generating-code lineage remains untraced; no fabricated mapping. Certified only as extraction/summary of current frozen aggregate. No source-level generator or inferential null is invented.
R2-GEOMX	R2	2d	GeoMx source-state resolution	0.602;chance 0.50	413 AOIs;26 patients;198 representations	patient	publication_supplement_final/Supplementary_Table_S2.tsv	results_reference/geomx_model_summary.tsv	median across198	reproducibility/SCRIPT_CERTIFICATION.tsv:08	30_wp3.py::grouped_logistic_cv	analysis/08_aggregate_evidence.py	AGGREGATE_VALIDATION	CERTIFIED_WITH_LIMITATION	 Printed precision validated against frozen aggregate; generating pipeline not thereby certified. Recalculated from safe frozen aggregates;not original source-level fitting.
R2-SOURCE-MATCH	R2	2e	Matched scores cross source states	descriptive	26 patients	patient	RESULTS_DATA_FREEZE_20260916/R2/R2_MATCHED_DISTANCE_AUDIT.tsv	results_reference/matched_score_descriptive.tsv	GEOMX	reproducibility/SCRIPT_CERTIFICATION.tsv:08;AGGREGATE_SOURCE_HASHES.tsv	UNTRACED	analysis/08_aggregate_evidence.py	AGGREGATE_VALIDATION	CERTIFIED_WITH_LIMITATION	 Original generating-code lineage remains untraced; no fabricated mapping. Certified only as extraction/summary of current frozen aggregate. No source-level generator or inferential null is invented.
R2-SOURCE-CHANGE	R2	2f	Source changes vary in direction and magnitude	descriptive	representation-patient changes	patient	RESULTS_DATA_FREEZE_20260916/R2/R2_CONTEXT_STATISTIC_AUDIT.tsv	results_reference/source_change_descriptive.tsv	model_median_IQR_low;model_median_IQR_high	reproducibility/SCRIPT_CERTIFICATION.tsv:08;AGGREGATE_SOURCE_HASHES.tsv	UNTRACED	analysis/08_aggregate_evidence.py	AGGREGATE_VALIDATION	CERTIFIED_WITH_LIMITATION	No frozen construction-aware null; no inferential reproduction claim. Original generating-code lineage remains untraced; no fabricated mapping. Certified only as extraction/summary of current frozen aggregate. No source-level generator or inferential null is invented.
R3-MATCH	R3	3a	Matched scalar scores do not fix biological state	descriptive	matched observations	patient	FIG3_ACT3_FINAL_REALDATA	results_reference/matched_ecology_descriptive.tsv	frozen k1 SIGNATURE_SCORE records;aggregates only	reproducibility/SCRIPT_CERTIFICATION.tsv:08;AGGREGATE_SOURCE_HASHES.tsv	UNTRACED	analysis/08_aggregate_evidence.py	AGGREGATE_VALIDATION	CERTIFIED_WITH_LIMITATION	 Original generating-code lineage remains untraced; no fabricated mapping. Certified only as extraction/summary of current frozen aggregate. No source-level generator or inferential null is invented.
R3-DIM-CARE	R3	3b	Supported dimensions CARE	7–16	56	patient	publication_supplement_final/Supplementary_Table_S3.tsv	results_reference/dimension_support.tsv	supported_range_union_prespecified_methods	reproducibility/SCRIPT_CERTIFICATION.tsv:08	10_wp1_intrinsic_dimension.py	analysis/08_aggregate_evidence.py	AGGREGATE_VALIDATION	CERTIFIED_WITH_LIMITATION	 Recalculated from safe frozen aggregates;not original source-level fitting.
R3-OFF-CARE-K2	R3	3b	Off-reference fraction CARE K2	0.761369297659027	56	patient	publication_supplement_final/Supplementary_Table_S3.tsv	results_reference/supplement_S3.tsv	3	reproducibility/SCRIPT_CERTIFICATION.tsv:04	10_wp1_intrinsic_dimension.py	analysis/04_longitudinal_deformation.py	NOT_PUBLICLY_REPRODUCIBLE	CERTIFIED_WITH_LIMITATION	 Printed precision validated against frozen aggregate; generating pipeline not thereby certified. Private paired-score matrices; frozen dimensions supplied, dimension selection not regenerated.
R3-OFF-CARE-UPPER	R3	3b	Off-reference fraction CARE UPPER	0.38287436971914457	56	patient	publication_supplement_final/Supplementary_Table_S3.tsv	results_reference/supplement_S3.tsv	4	reproducibility/SCRIPT_CERTIFICATION.tsv:04	10_wp1_intrinsic_dimension.py	analysis/04_longitudinal_deformation.py	NOT_PUBLICLY_REPRODUCIBLE	CERTIFIED_WITH_LIMITATION	 Printed precision validated against frozen aggregate; generating pipeline not thereby certified. Private paired-score matrices; frozen dimensions supplied, dimension selection not regenerated.
R3-DIM-GLASS	R3	3b	Supported dimensions GLASS	3–12	111	patient	publication_supplement_final/Supplementary_Table_S3.tsv	results_reference/dimension_support.tsv	supported_range_union_prespecified_methods	reproducibility/SCRIPT_CERTIFICATION.tsv:08	10_wp1_intrinsic_dimension.py	analysis/08_aggregate_evidence.py	AGGREGATE_VALIDATION	CERTIFIED_WITH_LIMITATION	 Recalculated from safe frozen aggregates;not original source-level fitting.
R3-OFF-GLASS-K2	R3	3b	Off-reference fraction GLASS K2	0.5901031458183693	111	patient	publication_supplement_final/Supplementary_Table_S3.tsv	results_reference/supplement_S3.tsv	6	reproducibility/SCRIPT_CERTIFICATION.tsv:04	10_wp1_intrinsic_dimension.py	analysis/04_longitudinal_deformation.py	NOT_PUBLICLY_REPRODUCIBLE	CERTIFIED_WITH_LIMITATION	 Printed precision validated against frozen aggregate; generating pipeline not thereby certified. Private paired-score matrices; frozen dimensions supplied, dimension selection not regenerated.
R3-OFF-GLASS-UPPER	R3	3b	Off-reference fraction GLASS UPPER	0.32072047999642456	111	patient	publication_supplement_final/Supplementary_Table_S3.tsv	results_reference/supplement_S3.tsv	7	reproducibility/SCRIPT_CERTIFICATION.tsv:04	10_wp1_intrinsic_dimension.py	analysis/04_longitudinal_deformation.py	NOT_PUBLICLY_REPRODUCIBLE	CERTIFIED_WITH_LIMITATION	 Printed precision validated against frozen aggregate; generating pipeline not thereby certified. Private paired-score matrices; frozen dimensions supplied, dimension selection not regenerated.
R3-DIM-GSE174554	R3	3b	Supported dimensions GSE174554	2–11	20	patient	publication_supplement_final/Supplementary_Table_S3.tsv	results_reference/dimension_support.tsv	supported_range_union_prespecified_methods	reproducibility/SCRIPT_CERTIFICATION.tsv:08	10_wp1_intrinsic_dimension.py	analysis/08_aggregate_evidence.py	AGGREGATE_VALIDATION	CERTIFIED_WITH_LIMITATION	 Recalculated from safe frozen aggregates;not original source-level fitting.
R3-OFF-GSE174554-K2	R3	3b	Off-reference fraction GSE174554 K2	0.7303851226616707	20	patient	publication_supplement_final/Supplementary_Table_S3.tsv	results_reference/supplement_S3.tsv	9	reproducibility/SCRIPT_CERTIFICATION.tsv:04	10_wp1_intrinsic_dimension.py	analysis/04_longitudinal_deformation.py	NOT_PUBLICLY_REPRODUCIBLE	CERTIFIED_WITH_LIMITATION	 Printed precision validated against frozen aggregate; generating pipeline not thereby certified. Private paired-score matrices; frozen dimensions supplied, dimension selection not regenerated.
R3-OFF-GSE174554-UPPER	R3	3b	Off-reference fraction GSE174554 UPPER	0.5064151789333295	20	patient	publication_supplement_final/Supplementary_Table_S3.tsv	results_reference/supplement_S3.tsv	10	reproducibility/SCRIPT_CERTIFICATION.tsv:04	10_wp1_intrinsic_dimension.py	analysis/04_longitudinal_deformation.py	NOT_PUBLICLY_REPRODUCIBLE	CERTIFIED_WITH_LIMITATION	 Printed precision validated against frozen aggregate; generating pipeline not thereby certified. Private paired-score matrices; frozen dimensions supplied, dimension selection not regenerated.
R3-RESIDUAL	R3	3c	Observed residual magnitude	10.622	56	patient	publication_supplement_final/Supplementary_Table_S3.tsv	results_reference/supplement_S3.tsv	11	reproducibility/SCRIPT_CERTIFICATION.tsv:07	40_wp2_wp4_sampling_composition.py	analysis/07_sampling_composition.py	NOT_PUBLICLY_REPRODUCIBLE	CERTIFIED_WITH_LIMITATION	Certified on nonredistributed frozen prepared inputs;original numerical operations preserved;raw-cell preprocessing not packaged.
R3-NULL	R3	3c	Patient split-half null median	3.680	56	patient	publication_supplement_final/Supplementary_Table_S3.tsv	results_reference/supplement_S3.tsv	12	reproducibility/SCRIPT_CERTIFICATION.tsv:07	40_wp2_wp4_sampling_composition.py	analysis/07_sampling_composition.py	NOT_PUBLICLY_REPRODUCIBLE	CERTIFIED_WITH_LIMITATION	Certified on nonredistributed frozen prepared inputs;original numerical operations preserved;raw-cell preprocessing not packaged.
R3-EXCEED	R3	3c	Patients exceeding own null 95th percentile	54/56	56	patient	publication_supplement_final/Supplementary_Table_S3.tsv	results_reference/supplement_S3.tsv	14	reproducibility/SCRIPT_CERTIFICATION.tsv:07	40_wp2_wp4_sampling_composition.py	analysis/07_sampling_composition.py	NOT_PUBLICLY_REPRODUCIBLE	CERTIFIED_WITH_LIMITATION	Certified on nonredistributed frozen prepared inputs;original numerical operations preserved;raw-cell preprocessing not packaged.
R3-ENERGY	R3	3d;3e	Non-additive composition energy	0.092	46	patient	publication_supplement_final/Supplementary_Table_S3.tsv	results_reference/supplement_S3.tsv	16	reproducibility/SCRIPT_CERTIFICATION.tsv:07	40_wp2_wp4_sampling_composition.py	analysis/07_sampling_composition.py	NOT_PUBLICLY_REPRODUCIBLE	CERTIFIED_WITH_LIMITATION	Certified on nonredistributed frozen prepared inputs;original numerical operations preserved;raw-cell preprocessing not packaged.
R3-COSINE	R3	3d;3e	Reconstruction cosine	0.915	46	patient	publication_supplement_final/Supplementary_Table_S3.tsv	results_reference/supplement_S3.tsv	17	reproducibility/SCRIPT_CERTIFICATION.tsv:07	40_wp2_wp4_sampling_composition.py	analysis/07_sampling_composition.py	NOT_PUBLICLY_REPRODUCIBLE	CERTIFIED_WITH_LIMITATION	Certified on nonredistributed frozen prepared inputs;original numerical operations preserved;raw-cell preprocessing not packaged.
R3-SENSITIVITY	R3	3d;3e	25-cell sensitivity composition energy	9.18%	53	patient	publication_supplement_final/Supplementary_Table_S3.tsv	results_reference/supplement_S3.tsv	18	reproducibility/SCRIPT_CERTIFICATION.tsv:07	40_wp2_wp4_sampling_composition.py	analysis/07_sampling_composition.py	NOT_PUBLICLY_REPRODUCIBLE	CERTIFIED_WITH_LIMITATION	Certified on nonredistributed frozen prepared inputs;original numerical operations preserved;raw-cell preprocessing not packaged.
R3-MODES	R3	3f	No stable residual mode	0/10	10 modes	patient	publication_supplement_final/Supplementary_Table_S3.tsv	results_reference/residual_mode_gates.tsv	10 modes;three conjunction gates	reproducibility/SCRIPT_CERTIFICATION.tsv:08	30_wp3_wp7_wp8.py	analysis/08_aggregate_evidence.py	AGGREGATE_VALIDATION	CERTIFIED_WITH_LIMITATION	 Recalculated from safe frozen aggregates;not original source-level fitting.
R3-GEOMETRY-CARE	R3	3g	Centroid;angle;trace ratio CARE	3.329;76.6;1.012	paired patients	patient	publication_supplement_final/Supplementary_Table_S3.tsv	results_reference/supplement_S3.tsv	25	Frozen authority SHA256=b58e967bb72dcff8dd5e360a5b7614a9a1b640479f880ebbecff5a548f7abda6; upstream execution not inferred from filename	30_wp3_wp7_wp8.py	analysis/99_validate_release.R	AGGREGATE_VALIDATION	CERTIFIED_WITH_LIMITATION	Angle and trace require underlying geometry table, not only supplement range. Printed precision validated against frozen aggregate; generating pipeline not thereby certified.
R3-GEOMETRY-GLASS	R3	3g	Centroid;angle;trace ratio GLASS	3.233;32.3;1.349	paired patients	patient	publication_supplement_final/Supplementary_Table_S3.tsv	results_reference/supplement_S3.tsv	26	Frozen authority SHA256=b58e967bb72dcff8dd5e360a5b7614a9a1b640479f880ebbecff5a548f7abda6; upstream execution not inferred from filename	30_wp3_wp7_wp8.py	analysis/99_validate_release.R	AGGREGATE_VALIDATION	CERTIFIED_WITH_LIMITATION	Angle and trace require underlying geometry table, not only supplement range. Printed precision validated against frozen aggregate; generating pipeline not thereby certified.
R3-GEOMETRY-GSE174554	R3	3g	Centroid;angle;trace ratio GSE174554	4.784;85.1;0.531	paired patients	patient	publication_supplement_final/Supplementary_Table_S3.tsv	results_reference/supplement_S3.tsv	27	Frozen authority SHA256=b58e967bb72dcff8dd5e360a5b7614a9a1b640479f880ebbecff5a548f7abda6; upstream execution not inferred from filename	30_wp3_wp7_wp8.py	analysis/99_validate_release.R	AGGREGATE_VALIDATION	CERTIFIED_WITH_LIMITATION	Angle and trace require underlying geometry table, not only supplement range. Printed precision validated against frozen aggregate; generating pipeline not thereby certified.
R4-UNITS	R4	4a	Donor-structured DS03 design	57 regions;12 donors	12 donors	donor	RESULTS_DATA_FREEZE_20260916/03_DENOMINATOR_LOCK.tsv	config/datasets.tsv	dataset_id=GBM-Space;R4 MALIGNANT_ONLY	reproducibility/SCRIPT_CERTIFICATION.tsv:08;AGGREGATE_SOURCE_HASHES.tsv	UNTRACED	analysis/08_aggregate_evidence.py	AGGREGATE_VALIDATION	CERTIFIED_WITH_LIMITATION	Original StageB1 load_inputs validates8x57 scores,8x57x4 biology and12 donor groups;this registry retains aggregate geometry only.
R4-NULL	R4	4b	Blocked true-null rejection near nominal	alpha=0.05	800 DS03;1220 Ivy per q	null realization	publication_supplement_final/Supplementary_Table_S4.tsv	results_reference/null_calibration.tsv	regime;q	reproducibility/SCRIPT_CERTIFICATION.tsv:08	UNTRACED	analysis/08_aggregate_evidence.py	AGGREGATE_VALIDATION	CERTIFIED_WITH_LIMITATION	 Original generating-code lineage remains untraced; no fabricated mapping. Recalculated from safe frozen aggregates;not original source-level fitting.
R4-SUPPORT	R4	4c;6e	Seven identities reachable; FINAL-053 unreachable	7/8;Pmin=0.0625	8 prespecified identities	identity	publication_supplement_final/Supplementary_Table_S4.tsv	results_reference/supplement_S4.tsv	S4A	reproducibility/SCRIPT_CERTIFICATION.tsv:05	UNTRACED	analysis/05_design_capability.R	AGGREGATE_VALIDATION	CERTIFIED_WITH_LIMITATION	 Aggregate support/recovery arithmetic only, no planted-world generator. Original generating-code lineage remains untraced; no fabricated mapping.
R4-RECOVERY	R4	4c	q100 three identities recover all;four none	3 x 20/20;4 x 0/20	7 reachable identities	positive realization	publication_supplement_final/Supplementary_Table_S4.tsv	results_reference/supplement_S4.tsv	S4A	reproducibility/SCRIPT_CERTIFICATION.tsv:05	UNTRACED	analysis/05_design_capability.R	AGGREGATE_VALIDATION	CERTIFIED_WITH_LIMITATION	 Aggregate support/recovery arithmetic only, no planted-world generator. Original generating-code lineage remains untraced; no fabricated mapping.
R4-CAPACITY	R4	4d	Same coarse capacity opposite recovery	E=10;K=7	B4-007;B4-029	identity	publication_supplement_final/Supplementary_Table_S4.tsv	results_reference/supplement_S4.tsv	S4A	reproducibility/SCRIPT_CERTIFICATION.tsv:05	UNTRACED	analysis/05_design_capability.R	AGGREGATE_VALIDATION	CERTIFIED_WITH_LIMITATION	 Aggregate support/recovery arithmetic only, no planted-world generator. Original generating-code lineage remains untraced; no fabricated mapping.
R4-HISTORICAL	R4	4e;4f	Bidirectional reference visibility	140 naive-only;114 blocked-only	640 historical worlds	positive realization	publication_supplement_final/Supplementary_Table_S4.tsv	results_reference/reference_comparison.tsv	all32 signature-q cells	reproducibility/SCRIPT_CERTIFICATION.tsv:08	UNTRACED	analysis/08_aggregate_evidence.py	AGGREGATE_VALIDATION	CERTIFIED_WITH_LIMITATION	 Original generating-code lineage remains untraced; no fabricated mapping. Recalculated from safe frozen aggregates;not original source-level fitting.
R4-FORMAL	R4	4f	Qualified q100 partition	51;56;4;29	140 adjudicable worlds	positive realization	publication_supplement_final/Supplementary_Table_S4.tsv	results_reference/reference_comparison.tsv	q=1 and alpha_reachable	reproducibility/SCRIPT_CERTIFICATION.tsv:08	UNTRACED	analysis/08_aggregate_evidence.py	AGGREGATE_VALIDATION	CERTIFIED_WITH_LIMITATION	 Original generating-code lineage remains untraced; no fabricated mapping. Recalculated from safe frozen aggregates;not original source-level fitting.
R4-EXAMPLE	R4	4g	Fixed alternatives change detection with reference	B4-007 0.172 to 0.002;FINAL-079 0.025 to 0.123	2 representative worlds	positive realization	Figure4_ACT4_updated	results_reference/reference_examples.tsv	PF4C-B4-007;PF4C-FINAL-079	reproducibility/SCRIPT_CERTIFICATION.tsv:08;AGGREGATE_SOURCE_HASHES.tsv	UNTRACED	analysis/08_aggregate_evidence.py	AGGREGATE_VALIDATION	CERTIFIED_WITH_LIMITATION	 Original generating-code lineage remains untraced; no fabricated mapping. Certified only as extraction/summary of current frozen aggregate. No source-level generator or inferential null is invented.
R5-2-PROVENANCE	R5	5a	Five-gene EMT-driving-gene prognostic signature:Unsigned membership differs from original weighted predictor	NO — coefficient signs and weights are discarded	1 published signature	signature representation	publication_supplement_final/Supplementary_Table_S5.tsv	results_reference/supplement_S5.tsv	identity=B4-007 / Liu EMT-5;mathematically_equivalent_to_original	reproducibility/SCRIPT_CERTIFICATION.tsv:08	UNTRACED	analysis/08_aggregate_evidence.py	AGGREGATE_VALIDATION	CERTIFIED_WITH_LIMITATION	Frozen aggregate/provenance validation only;original predictor is not re-estimated or treated as equivalent. Original domain-level fitting is not regenerated.
